代號,名稱,目前狀態,上市別,最近上市日,證期會代碼,TSE 產業別,會計月份,統一編號,國際證券編號,電話,傳真,網址,電子信箱,董事長,總經理,發言人,財務主管,員工人數-母公司,實收資本額(元),面額,幣別(IPO&面額),設立日期,最近一次公開發行日,TSE上市日,OTC上市日,REG上市日,創新版上市日,首次承銷價格,下市日期,最近一次撤銷公開發行日,全額交割起日(一),全額交割迄日(一),全額交割起日(二),全額交割迄日(二),全額交割起日(三),全額交割迄日(三),TSE產業名,TEJ產業名,TEJ子產業名,TSE舊產業名,主計處產業名,主要經營業務1,主要經營業務2,主要經營業務3,主要產品比重,公司中文全稱,公司英文全稱,公司中文簡稱,公司英文簡稱,公司中文地址,公司英文地址,股務單位,股務單位電話,股務單位地址,首次掛牌代碼,首次掛牌日期,首次掛牌市場,首次掛牌TSE產業,前一次TSE產業變更,前一次TSE產業變更日,前二次TSE產業變更,前二次TSE產業變更日,前三次TSE產業變更,前三次TSE產業變更日,首次掛牌名稱,前一次改名,前一次改名日期,前二次改名,前二次改名日期,前三次改名,前三次改名日期,前四次改名,前四次改名日期,首次掛牌TEJ子產業,前一次TEJ子產業變更,前一次TEJ子產業變更日,前二次TEJ子產業變更,前二次TEJ子產業變更日,前三次TEJ子產業變更,前三次TEJ子產業變更日,前四次TEJ子產業變更,前四次TEJ子產業變更日,危機發生日,危機發生迄日,危機事件大類別,危機事件大類別說明,危機事件類別,危機事件類別說明,會計師事務所,會計師1,會計師2,會計師3,會計師變更日,前一次變更市場日期,前一次變更市場,前二次變更市場日期,前二次變更市場,前三次變更市場日期,前三次變更市場,TSE產業_代碼,TSE產業_名稱,TEJ產業_代碼,TEJ產業_名稱,TEJ子產業_代碼,TEJ子產業_名稱,TSE舊產業_代碼,TSE舊產業_名稱
2509,全坤建,Current ,TSE,1988/07/28,2509,14,12,ID 04921056,TW0002509007,02-87918888,02-87918990,http://www.gtg.com.tw,hhh@mail.gtg.com.tw,李勇毅,江清峰,韋建玲(稽核經理),洪小慧(財務部經理),67,"2,245,505,300",10,NTD,1973/01/27,1987/07/22,1988/07/28,,,,17,,,,,,,,,M2500 建材營造,M25A 建設,M25A 建設,M2500 建材營造,6700 不動產開發業,建築業,其他營業收入,,2025/12:商業大樓及國民住宅興建/租售(68.88%),全坤建設開發,"Chainqui Construction Development Co., L",全坤建,Chainqui,台北市內湖區新湖二路329 號 6樓,"6/F, 329, Shinhu 2nd. Taipei, Taiwan, R.O.C.",群益金鼎證券股務代理單位,02-27035000,台北市敦化南路2段97號B2,2509,1988/07/28,TSE,M2500 建材營造,,,,,,,保固,全坤建設開發,2009/10/16,全坤興業,1998/06/16,保固,1973/01/27,,,25A   建設,,,,,,,,,,,,,,,安侯建業聯合會計師事務所,黃欣婷,曾國禓,,2025/05/08,,,,,,,M2500,建材營造,M25A,建設,M25A,建設,M2500,建材營造
2511,太子,Current ,TSE,1991/04/24,2511,14,12,ID 72058206,TW0002511003,06-2821155,06-2351155,https://www.prince.com.tw,phd@prince.com.tw,羅智先,林宏俊,林俊良(財務部協理),林俊良(財務部協理),202,"16,233,261,470",10,NTD,1973/09/22,1983/09/26,1991/04/24,,,,60,,,,,,,,,M2500 建材營造,M25A 建設,M25A 建設,M2500 建材營造,6700 不動產開發業,國民住宅及商業大樓等之委託興建及經營租售,,,"2025/12:營建(57.70%),旅館住宿服務(37.98%)",太子建設開發,Prince Housing & Development Corp.,太子,PHD,台南市東區中華東路一段398 號8 樓,"8F, No.398, Sec.1, Zhonghua E. Rd., East Dist., Tainan, Taiwan",統一綜合證券股務代理單位,02-27478266,台北市東興路8號B1,2511,1991/04/24,TSE,M2500 建材營造,,,,,,,太子建設開發,,,,,,,,,25A   建設,,,,,,,,,2009/08/01,,Q,重大財務事件(2009/08/01),F,疑似盜取資產或掏空(2009/08/01),資誠聯合會計師事務所,吳建志,王駿凱,,2024/05/08,,,,,,,M2500,建材營造,M25A,建設,M25A,建設,M2500,建材營造
2514,龍邦,Current ,TSE,1992/09/26,2514,20,12,ID 22817273,TW0002514007,02-23756595,02-23756326,http://www.longbon.com.tw,080@longbon.com.tw,劉偉龍,劉偉龍,董一清(副總經理),董一清(副總經理),25,"3,947,292,780",10,NTD,1988/01/22,1990/03/27,1992/09/26,,,,75,,,,,,,,,M9900 其他,M25A 建設,M25A 建設,M9900 其他,6700 不動產開發業,"委託營造廠商興建國民住宅,商業大樓出租出售業務","投資興闢都市計劃範圍內之市場,公園等公共設施",接受委託辦理市地重劃,"2025/12:營建工程(50.72%),消費食品(44.51%),勞務(2.24%),育樂事業(1.16%),墓地及塔位(0.92%),租賃(0.21%)",龍邦國際興業,"Long Bon International Co., Ltd.",龍邦,Long Bon,台北市中正區忠孝西路一段50號9 樓,"9F, No.50, Sec.1, Zhongxiao W. Rd., Taipei, Taiwan",元大證券股務代理單位,02-25863117,台北市敦化南路2段67號B1,2514,1992/09/26,TSE,M2500 建材營造,M9900 其他,2007/07/02,M2500 建材營造,1992/09/26,,,龍邦建設,龍邦國際興業,2009/07/06,龍邦開發,1997/12/04,龍邦建設,1988/01/22,,,25A   建設,,,,,,,,,,,,,,,安永聯合會計師事務所,黃子評,林素雯,,2025/05/14,,,,,,,M9900,其他,M25A,建設,M25A,建設,M9900,其他
2515,中工,Current ,TSE,1993/03/02,2515,14,12,ID 75094900,TW0002515004,02-87876687,02-87876987,http://www.bes.com.tw,besbs0@bes.com.tw,鄭斯聰,馮敦承,程安慈(協理),游立誠(財務處協理),"1,262","16,884,600,790",10,NTD,1950/09/01,1992/01/28,1993/03/02,,,,30.61,,,,,,,,,M2500 建材營造,M25B 營造,M25B 營造,M2500 建材營造,4290 其他土木工程業,國內外土木工程業務,國內外建築工程業務,代辦工業區之開發及發展社區工程業務,"2025/12:土木工程(56.35%),建築工程(20.75%),機電工程(6.69%),其他營業成本(6.14%),房地銷售(5.30%),開發工程(4.77%)",中華工程,Bes Engineering Co.,中工,BES,台北市松山區東興路12號6 樓,"6/F, 12, Tong Hsin Rd., Taipei, Taiwan, R.O.C.",統一綜合證券股務代理單位,02-27463797,台北市東興路8號B1,2515,1993/03/02,TSE,M2500 建材營造,,,,,,,中華工程,,,,,,,,,25B   營造,,,,,,,,,2026/07/08,,Q,重大財務事件(2026/07/08),T,遭勒令或自行停(復)工(2026/07/08),勤業眾信聯合會計師事務所,周仕杰,黃堯麟,,2025/11/13,,,,,,,M2500,建材營造,M25B,營造,M25B,營造,M2500,建材營造
2516,新建,Current ,TSE,1993/05/25,2516,14,12,ID 11762504,TW0002516002,02-25288008,02-27477473,http://www.newasia.com.tw/,stock@newasia.com.tw,鄒宏基,賴調燦,陳柏仲(副總經理),陳柏仲(副總經理),"1,024","2,262,784,570",10,NTD,1967/12/04,,1993/05/25,,,,45,,,,,,,,,M2500 建材營造,M25B 營造,M25B 營造,M2500 建材營造,6811 不動產租售業,土木工程：承辦各種道路.橋樑.隧道.運河等土木工程,建築工程：承辦各種辦公大樓.住宅.學校.廠房.醫院.運動館等工程,工廠工程：核能電廠及各種工廠之建廠工程,"2025/12:土木工程(52.43%),建築工程(47.54%)",新亞建設開發,New Asia Construction & Development Corp,新建,New Asia,台北市松山區八德路四段760 號15-16 樓,"15-16/F, 760, Pa Teh Rd., Sec.4, Taipei, Taiwan",凱基證券股務代理單位,02-23892999,台北市重慶南路1段2號5樓,2516,1993/05/25,TSE,M2500 建材營造,,,,,,,新亞建設開發,,,,,,,,,25B   營造,,,,,,,,,2023/03/09,,Q,重大財務事件(2023/03/09),O,虧損達實收資本額二分之一(2023/03/09),安侯建業聯合會計師事務所,池世欽,鄒依芸,,2024/05/09,,,,,,,M2500,建材營造,M25B,營造,M25B,營造,M2500,建材營造
2520,冠德,Current ,TSE,1993/10/27,2520,14,12,ID 30900892,TW0002520004,02-23786789,02-27396710,http://www.kindom.com.tw,ir@kindom.com.tw,馬志綱,張勝安,張勝安(總經理),林淑媛(協理),112,"6,094,871,100",10,NTD,1979/11/23,1990/11/29,1993/10/27,,,,56,,,,,,,,,M2500 建材營造,M25A 建設,M25A 建設,M2500 建材營造,6700 不動產開發業,委託營造廠商興建國民住宅及商業大樓出租出售業務。,建築傢具之買賣及進出口貿易業務。,接受委託辦理都市更新土地重劃及房屋買賣資訊業務。,"2025/12:營造(75.01%),建設業務(16.88%),百貨(8.11%)",冠德建設,"Kindom Development Co., Ltd.",冠德,KINDOM,台北市松山區民權東路三段169號10樓,"10 F., No. 169, Sec. 3, Minquan E. Rd., Songshan Dist., Taipei City",中國信託商業銀行股務代理單位,02-66365566,台北市重慶南路1段83號5樓,2520,1993/10/27,TSE,M2500 建材營造,,,,,,,冠德建設,,,,,,,,,25A   建設,,,,,,,,,2021/05/25,,Q,重大財務事件(2021/05/25),T,遭勒令或自行停(復)工(2021/05/25),安侯建業聯合會計師事務所,韓沂璉,陳宗哲,,2025/05/09,,,,,,,M2500,建材營造,M25A,建設,M25A,建設,M2500,建材營造
2524,京城,Current ,TSE,1994/10/18,2524,14,12,ID 06667446,TW0002524006,07-5586368,07-5572111,http://www.kingtown.com.tw/,bruce@kingtown.com.tw,蔡天贊,蔡天贊,周敬恆(協理),梁素英(經理),48,"3,661,845,960",10,NTD,1985/09/13,1991/04/10,1994/10/18,,,,50,,,,,,,,,M2500 建材營造,M25A 建設,M25A 建設,M2500 建材營造,6700 不動產開發業,H701010住宅及大樓開發租售業。,J901020一般旅館業。,F501060餐館業。,"2025/12:住宅大樓(90.41%),觀光旅館(7.76%),其他及租金(1.83%)",京城建設,"King's Town Construction Co., Ltd.",京城,KTC,高雄市左營區博愛二路150 號16樓,"16F, No.150, Boai 2nd Rd., Zuoying Dist., Kaohsiung, Taiwan",台新綜合證券股務代理單位,02-25048125,台北市建國北路1段96號B1,2524,1994/10/18,TSE,M2500 建材營造,,,,,,,緯城實業建設,京城建設,2000/06/14,緯城實業建設,1985/09/13,,,,,25A   建設,,,,,,,,,,,,,,,信永中和聯合會計師事務所,莊淑媛,卓傳陣,,2023/11/10,,,,,,,M2500,建材營造,M25A,建設,M25A,建設,M2500,建材營造
2527,宏璟,Current ,TSE,1995/03/06,2527,14,12,ID 22344508,TW0002527009,02-26915899,02-26915193,http://www.asehcc.com.tw,cherry@asehome.com,簡文祥,周家佩,簡文祥(董事長),陳芳瑩(財務處副總經理),38,"2,703,060,000",10,NTD,1986/12/19,,1995/03/06,,,,45,,,,,,,,,M2500 建材營造,M25A 建設,M25A 建設,M2500 建材營造,6700 不動產開發業,委託營造廠商興建國民住宅及商業大樓出租出售業務,買賣各種建材及進出口業務,室內設計裝潢工程(營造業除外),"2025/12:投資興建國民住宅,商業大樓及智慧型工業廠房大樓出租/出售(100.00%)",宏璟建設,Hung Ching Development & Construction Co,宏璟,Hung Ching,台北市信義區基隆路一段 420號10樓,"10/F, 420, Chi Lung Rd. Sec.1, Taipei, Taiwan",富邦綜合證券股務代理單位,02-23611300,台北市許昌街17號11樓,2527,1995/03/06,TSE,M2500 建材營造,,,,,,,宏璟建設,,,,,,,,,25A   建設,,,,,,,,,2019/11/08,,Q,重大財務事件(2019/11/08),V,資產減損/客戶倒帳(2019/11/08),勤業眾信聯合會計師事務所,林旺生,施俊弘,,2025/03/07,,,,,,,M2500,建材營造,M25A,建設,M25A,建設,M2500,建材營造
2528,皇普,Current ,TSE,1995/03/10,2528,14,12,ID 81271967,TW0002528007,03-2171111,03-2172222,http://crowell.com.tw,spokesman@crowell.com.tw,蘇永平,蘇永平,陳玠吟(財務部副理),陳玠吟(財務部副理),47,"5,010,604,370",10,NTD,1985/01/17,1992/10/06,1995/03/10,,,,46,,,2003/05/08,2010/11/04,,,,,M2500 建材營造,M25A 建設,M25A 建設,M2500 建材營造,6700 不動產開發業,委託營造廠商興建商業大樓及國民住宅出租、出售業務,投資興闢都市計劃範圍內之停車場,餐廳、咖啡廳、旅館業務之經營,2025/12:商業大樓及國民住宅出租出售(100.00%),皇普建設,Crowell Development Corp.,皇普,CROWELL,桃園市中壢區領航南路三段307號17樓,"17F, No.307, Sec.3, Linghang S.Rd,Zhongli Dist, Taoyuan City",福邦證券股務代理單位,02-23711658,台北市忠孝西路1段6號6樓,2528,1995/03/10,TSE,M2500 建材營造,,,,,,,皇普建設,,,,,,,,,25A   建設,,,,,,,,,2009/10/09,,Y,財務危機(2009/10/09),E,繼續經營假設存有疑慮(2009/10/09),安永聯合會計師事務所,王慕凡,王甯寬,,2026/05/13,,,,,,,M2500,建材營造,M25A,建設,M25A,建設,M2500,建材營造
2530,華建,Current ,TSE,1995/10/12,2530,14,12,ID 11059409,TW0002530003,02-26328877,02-26338755,http://www.delpha.com.tw,service@delpha.com.tw,吳裕國,吳裕國,陳柏豪(公司治理主管),吳幸穗(財務經理),55,"8,412,557,310",10,NTD,1960/12/28,1993/02/13,1995/10/12,,,,35,,,,,,,,,M2500 建材營造,M25A 建設,M25A 建設,M2500 建材營造,6700 不動產開發業,委託營造廠商興建商業大樓出租出售業務,委託營造廠商興建國民住宅出租出售業務,房屋租售之介紹業務,2025/12:國民住宅出租/出售(100.00%),大華建設,"Delpha Construction Co., Ltd.",華建,DELPHA,台北市內湖區成功路五段460 號16樓,"16/F, 460, ChengGung Rd., Sec. 5, Taipei, Taiwan, ROC",中國信託商業銀行股務代理單位,02-66365566,台北市重慶南路1段83號5樓,2530,1995/10/12,TSE,M2500 建材營造,,,,,,,大華建設,,,,,,,,,25A   建設,,,,,,,,,2004/10/15,,Y,財務危機(2004/10/15),E,繼續經營假設存有疑慮(2004/10/15),安永聯合會計師事務所,林素雯,黃建澤,,2023/05/12,,,,,,,M2500,建材營造,M25A,建設,M25A,建設,M2500,建材營造
2534,宏盛,Current ,TSE,1996/02/12,2534,14,12,ID 22221180,TW0002534005,02-27199999,02-25464577,http://www.hsc.com.tw,hsc@hsc.com.tw,林新欽,郭力維,陳育德(經理),陳育德(經理),87,"4,742,279,700",10,NTD,1986/07/09,1993/09/23,1996/02/12,,,,42,,,,,,,,,M2500 建材營造,M25A 建設,M25A 建設,M2500 建材營造,6700 不動產開發業,委託營造廠興建國民住宅及商業大樓出售出租業務,房屋租售之介紹業務,室內裝潢之設計及施工業務(現場僅作辦公室使用),"2025/12:營建(90.82%),租賃(9.18%)",宏盛建設,"Hung Sheng Construction Co., Ltd.",宏盛,HSC,台北市松山區敦化北路168 號14樓,"14F., No. 168, Dunhua N. Rd., Songshan Dist., Taipei City",群益金鼎證券股務代理單位,02-27023999,台北市敦化南路2段97號B2,2534,1996/02/12,TSE,M2500 建材營造,,,,,,,宏盛建設,,,,,,,,,25A   建設,,,,,,,,,,,,,,,勤業眾信聯合會計師事務所,謝東儒,邱盟捷,,2024/05/09,,,,,,,M2500,建材營造,M25A,建設,M25A,建設,M2500,建材營造
2535,達欣工,Current ,TSE,1996/03/11,2535,14,12,ID 18997007,TW0002535002,02-27062929,02-27081317,http://www.dacin.com.tw,cm10023@dacin.com.tw,王人正,潘明官,陳士修(資深副總經理),陳淑玲(財務部經理),582,"2,707,939,670",10,NTD,1967/02/13,1993/08/20,1996/03/11,,,,28,,,,,,,,,M2500 建材營造,M25B 營造,M25B 營造,M2500 建材營造,4310 整地、基礎及結構工程業,集合住宅商辦大樓等建築工程總承包,晶圓廠、封測廠等高科技廠房工程總承包,捷運、道路等交通工程統包及總承包,"2025/12:建築工程(86.94%),建設業務(13.06%)",達欣工程,"Da-Cin Construction Co., Ltd.",達欣工,DA-CIN,台北巿大安區敦化南路二段92號 9樓,"9/F., No.92 Twen Hwa S. Rd., Sec 2, Taipei, Taiwan",富邦綜合證券股務代理單位,02-23611300,台北市許昌街17號11樓,2535,1996/03/11,TSE,M2500 建材營造,,,,,,,達欣工程,,,,,,,,,25B   營造,,,,,,,,,,,,,,,勤業眾信聯合會計師事務所,劉明賢,李冠豪,,2023/05/03,,,,,,,M2500,建材營造,M25B,營造,M25B,營造,M2500,建材營造
2536,宏普,Current ,TSE,1996/03/14,2536,14,12,ID 23113054,TW0002536000,02-27552662,02-27082581,http://www.hong-pu.com.tw,floyd@hong-pu.com.tw,游武龍,游武龍,詹俊炫(稽核經理),劉寶姝(財務會計經理),43,"3,328,086,520",10,NTD,1988/10/05,1991/03/23,1996/03/14,,,,29,,,,,,,,,M2500 建材營造,M25A 建設,M25A 建設,M2500 建材營造,6700 不動產開發業,營建,,,2025/12:國民住宅出租/出售(100.00%),宏普建設,"Hong Pu Real Estate Development Co., Ltd",宏普,Hong Pu,台北市大安區敦化南路二段19號9 樓,"9F., No. 19, Sec. 2, Dunhua S. Rd., Da'an Dist., Taipei City",元大證券股務代理單位,02-25865859,台北市敦化南路2段67號B1,2536,1996/03/14,TSE,M2500 建材營造,,,,,,,宏普建設,,,,,,,,,25A   建設,,,,,,,,,,,,,,,安侯建業聯合會計師事務所,許明芳,洪士剛,,2025/04/30,,,,,,,M2500,建材營造,M25A,建設,M25A,建設,M2500,建材營造
2537,聯上發,Current ,TSE,1996/09/06,2537,14,12,ID 22659295,TW0002537008,02-27229898,02-27220300,http://www.5v.com.tw,3623@5v.com.tw,蘇永義,李志明,李志明(總經理),曾金卿(行政部副總經理),41,"3,005,577,950",10,NTD,1987/08/19,1990/08/29,1996/09/06,,,,20,,,2005/05/06,2008/09/04,2004/05/06,2004/09/06,2002/05/07,2003/05/08,M2500 建材營造,M25A 建設,M25A 建設,M2500 建材營造,6700 不動產開發業,住宅及大樓開發租售業務。,不動產買賣業。,不動產租賃業。,2025/12:出售房地(99.50%),聯上開發,"WE & WIN Development Co., Ltd.",聯上發,WE & WIN,台北市信義區忠孝東路五段68號36樓,"36F, No.68, Sec.5, Jhongsiao E. Rd., Taipei, Taiwan",元大證券股務代理單位,02-25865859,台北市敦化南路2段67號B1,2537,1996/09/06,TSE,M2500 建材營造,,,,,,,春池建設,聯上開發,2008/07/09,春池開發,2006/07/04,數位春池網路服務,2000/06/30,春池開發,1998/09/22,25A   建設,,,,,,,,,2019/11/06,,Q,重大財務事件(2019/11/06),V,資產減損/客戶倒帳(2019/11/06),安侯建業聯合會計師事務所,黃欣婷,鄒依芸,,2024/05/10,,,,,,,M2500,建材營造,M25A,建設,M25A,建設,M2500,建材營造
2538,基泰,Current ,TSE,1996/11/01,2538,14,12,ID 12251662,TW0002538006,02-23830666,02-23830222,http://www.keetai.com.tw,kt104@thekeetai.com.tw,楊儲明,馮先勉,紀鈞舜(法務室主任),林家正(會計服務部經理),19,"4,450,254,950",10,NTD,1979/11/07,1991/02/05,1996/11/01,,,,30.39,,,2002/05/07,2002/09/10,,,,,M2500 建材營造,M25A 建設,M25A 建設,M2500 建材營造,6811 不動產租售業,委託營造廠商興建商業大樓及國民住宅出售、出租業務(營造廠除外),企業管理、財務管理及投資計劃之諮詢分析顧問業務,廢棄物處理業及其他環保服務業(廢棄土處理),2025/12:營建(60.46%),基泰建設,"Kee Tai Properties Co., Ltd.",基泰,KeeTai,台北市中正區衡陽路51號10樓,"10/F, 51, Hung Yang Rd., Taipei, Taiwan",中國信託商業銀行股務代理單位,02-66365566,台北市重慶南路1段83號5樓,2538,1996/11/01,TSE,M2500 建材營造,,,,,,,基泰建設,,,,,,,,,25A   建設,,,,,,,,,2023/09/08,,Q,重大財務事件(2023/09/08),T,遭勒令或自行停(復)工(2023/09/08),安永聯合會計師事務所,林素雯,張巧穎,,2025/05/07,,,,,,,M2500,建材營造,M25A,建設,M25A,建設,M2500,建材營造
2539,櫻花建,Current ,TSE,1997/07/16,2539,14,12,ID 22491640,TW0002539004,04-36005800,04-36005799,http://www.sakurad.com.tw,saku.great@msa.hinet.net,陳世英,沈淑貞,陳世英(董事長),蔡梅茵(財務部出納副理),83,"14,555,851,490",10,NTD,1987/05/02,1994/06/07,1997/07/16,,,,45,,,2005/05/06,2009/05/06,2002/05/07,2004/09/06,,,M2500 建材營造,M25A 建設,M25A 建設,M2500 建材營造,6700 不動產開發業,委託營造廠商興建國民住宅及商業大樓之出租出售業務,,,2025/12:集合式住宅大樓之出租/出售(100.00%),櫻花建設,"Sakura Development Co., Ltd.",櫻花建,SAKURAD,台中市西區臺灣大道二段239 號4 樓,"4F, No.369, Taiwan Avenue Paragraph 2, West Dist., Taichung, Taiwan",中國信託商業銀行股務代理單位,02-66365566,台北市重慶南路1段83號5樓,2539,1997/07/16,TSE,M2500 建材營造,,,,,,,櫻花建設,,,,,,,,,25A   建設,,,,,,,,,2007/11/01,,Q,重大財務事件(2007/11/01),O,虧損達實收資本額二分之一(2007/11/01),立本台灣聯合會計師事務所,程建憲,陶鴻文,,2026/03/10,,,,,,,M2500,建材營造,M25A,建設,M25A,建設,M2500,建材營造
2540,愛山林,Current ,TSE,1989/12/26,2540,14,12,ID 22190686,TW0002540002,02-87736688,02-87736689,https://www.isanlin.com/,amma@mail.jsl.com.tw,祝文宇,祝藝,張境在(董事長特助),楊美津(財務長),144,"9,448,739,650",10,NTD,1986/09/06,1988/09/24,1989/12/26,,,,40,,,2014/05/20,2014/11/18,2005/09/07,2014/04/03,2003/04/24,2005/05/06,M2500 建材營造,M25A 建設,M25A 建設,M2500 建材營造,6700 不動產開發業,(所營事業第32條)H701010住宅及大樓開發租售業,(所營事業第35條)H703090不動產買賣業,(所營事業第62條)H704041不動產代銷經紀業,"2025/12:營造工程(47.19%),建設業務(35.28%),代銷業務(16.48%)",愛山林建設開發,"JSL Construction & Development Co., Ltd.",愛山林,JSL,台北市中山區龍江路128號2樓,"2F., No. 128, Longjiang Rd., Zhongshan Dist., Taipei City",統一綜合證券股務代理單位,02-27463797,台北市東興路8號B1,1610,1989/12/26,TSE,M1600 電器電纜,M2500 建材營造,1999/01/01,M1600 電器電纜,1989/12/26,,,泰瑞電子工業,愛山林建設開發,2013/07/05,金尚昌開發,2005/09/21,林三號國際發展,1998/11/23,泰瑞興業,1996/06/03,25A   建設,,,,,,,,,2025/10/17,,Q,重大財務事件(2025/10/17),T,遭勒令或自行停(復)工(2025/10/17),安侯建業聯合會計師事務所,池世欽,黃欣婷,,2023/05/11,,,,,,,M2500,建材營造,M25A,建設,M25A,建設,M2500,建材營造
2542,興富發,Current ,TSE,1999/05/03,2542,14,12,ID 12305479,TW0002542008,02-27555899,02-27555988,http://www.highwealth.com.tw/,karen@highwealth.com.tw,王嶠奇,范華軍,廖昭雄(開發部副總經理),王素月(財務部經理)、陳秋蘭,282,"21,530,835,390",10,NTD,1980/01/23,1996/06/24,1999/05/03,,,,17,,,,,,,,,M2500 建材營造,M25A 建設,M25A 建設,M2500 建材營造,6700 不動產開發業,委託營造廠商興建商業大樓及國民住宅出租、出售業務。,有關室內裝潢之設計及施工業務。,有關建材、裝潢材料及建設機械之買賣及進出口業務等。,"2025/12:建設業務(98.93%),飯店及其他(0.99%),營造(0.08%)",興富發建設,Highwealth Construction Corp.,興富發,Highwealth,台北市中山區樂群二路267 號10樓,"10F, No.267, Lequn 2nd Rd., Taipei, Taiwan",群益金鼎證券股務代理單位,02-27023999,台北市敦化南路2段97號B2,2542,1999/05/03,TSE,M2500 建材營造,,,,,,,宏巨建設,興富發建設,2003/05/10,宏巨建設,1980/01/23,,,,,25A   建設,,,,,,,,,2025/03/11,,Q,重大財務事件(2025/03/11),T,遭勒令或自行停(復)工(2025/03/11),安侯建業聯合會計師事務所,韓沂璉,鄒依芸,,2025/05/14,,,,,,,M2500,建材營造,M25A,建設,M25A,建設,M2500,建材營造
2543,皇昌,Current ,TSE,1999/10/15,2543,14,12,ID 34342717,TW0002543006,02-27922988,02-27928399,http://www.hcgc.com.tw,pr@hcgc.com.tw,江程金,黃重雷,官心惠(副總經理),朱惠菊(副總經理),"2,025","5,285,419,610",10,NTD,1981/02/16,1996/07/06,1999/10/15,,,,18,,,,,,,,,M2500 建材營造,M25B 營造,M25B 營造,M2500 建材營造,4390 其他專門營造業,土木建築工程之承攬業務,,,"2025/12:營建工程(89.34%),混凝土(10.54%),租賃(0.12%)",皇昌營造,"Hwang Chang General Contractor Co., Ltd.",皇昌,Hwang Chang,台北市內湖區潭美街 539號23樓,"23F., No. 539, Tanmei St., Neihu Dist., Taipei City",台新綜合證券股務代理單位,02-25048125,台北市建國北路1段96號B1,2543,1999/10/15,TSE,M2500 建材營造,,,,,,,皇昌營造,,,,,,,,,25B   營造,,,,,,,,,2018/03/22,,Q,重大財務事件(2018/03/22),F,疑似盜取資產或掏空(2018/03/22),霈昇聯合會計師事務所,林育雅,李菡,,2022/11/11,,,,,,,M2500,建材營造,M25B,營造,M25B,營造,M2500,建材營造
2545,皇翔,Current ,TSE,2000/09/11,2545,14,12,ID 86379024,TW0002545001,02-23882898,02-23896999,http://www.hhe.com.tw/,contact@hhe.com.tw,廖年吉,廖宇祥,王繼華(財會部協理),王繼華(財會部協理),81,"3,797,348,080",10,NTD,1991/12/06,1996/11/07,2000/09/11,1999/05/13,,,21,,,,,,,,,M2500 建材營造,M25A 建設,M25A 建設,M2500 建材營造,6700 不動產開發業,委託營造廠商興建住宅、商業大樓出租出售業務,有關建材之買賣及進出口業務,,"2025/12:住宅大樓,透天別墅及住辦大樓之出租/出售(100.00%)",皇翔建設,Huang Hsiang Construction Corporation,皇翔,Huang Hsiang,台北市中正區博愛路38號 8樓,"8/F, 38, Bo Ai Rd., Taipei, Taiwan, R.O.C.",元大證券股務代理單位,02-25865859,台北市敦化南路2段67號B1,5517,1999/05/13,OTC,M2500 建材營造,,,,,,,皇翔建設,,,,,,,,,25A   建設,,,,,,,,,2026/05/15,,Q,重大財務事件(2026/05/15),T,遭勒令或自行停(復)工(2026/05/15),安侯建業聯合會計師事務所,鄒依芸,陳宗哲,,2024/05/15,2000/09/11,TSE,1999/05/13,OTC,,,M2500,建材營造,M25A,建設,M25A,建設,M2500,建材營造
2546,根基,Current ,TSE,2000/09/11,2546,14,12,ID 43876760,TW0002546009,02-23786789,02-27396710,http://www.kedge.com.tw,ir@kindom.com.tw,袁藹維,陳俊明,范錦華(副總經理),潘思帆,"1,272","1,461,870,970",10,NTD,1982/04/13,1996/07/04,2000/09/11,1998/07/06,,,,,,,,,,,,M2500 建材營造,M25B 營造,M25B 營造,M2500 建材營造,4390 其他專門營造業,土木、建築、水利及整地工程之承攬。,各項基礎工程之承攬。,橋樑、隧道工程之承攬。,"2025/12:其他工程(60.14%),建設工程(20.17%),土木工程(19.69%)",根基營造,"Kedge Construction Co., Ltd",根基,Kedge,台北市松山區民權東路3段169號9樓,"9 F., No. 169, Sec. 3, Minquan E. Rd., Songshan Dist., Taipei City",中國信託商業銀行股務代理單位,02-66365566,台北市重慶南路1段83號5樓,5509,1998/07/06,OTC,M2500 建材營造,,,,,,,根基營造,,,,,,,,,25B   營造,,,,,,,,,2018/08/03,,Q,重大財務事件(2018/08/03),F,疑似盜取資產或掏空(2018/08/03),安侯建業聯合會計師事務所,韓沂璉,陳宗哲,,2025/05/09,2000/09/11,TSE,1998/07/06,OTC,,,M2500,建材營造,M25B,營造,M25B,營造,M2500,建材營造
